ID,Name,Sentence,Label,LengthWords,LengthChars
wiki-772,Bamboo,"Regardless of size of area, blocking bamboo rhizomes as a solution to controlling running bamboo is detrimental to the health of the plant, and only temporary.",1,26,159
wiki-150,Middle Ages,"The Eastern Empire was marked by closer relations between the political state and Christian Church, with doctrinal matters assuming an importance in Eastern politics that they did not have in Western Europe.",1,32,207
wiki-1377,Anchisaurus,"In 1882, he replaced the name with Amphisaurus, ""near saurian"",  probably referring to Marsh's interpretation of it as intermediate between primitive dinosaurs — at the time the British Palaeosaurus was an example of what was thought to be a primitive dinosaur — and more derived dinosaurs.",1,46,290
wiki-220,Vatican City,"Vatican City State, which employs nearly 2,000 people, had a surplus of 6.7&nbsp;million euros in 2007 but ran a deficit in 2008 of over 15&nbsp;million euros.",1,26,159
wiki-75,Kaaba,"# Gutter, added in 1627 to protect the foundation from groundwater.",1,11,67
wiki-1140,Human,"The human species developed a much larger brain than that of other primates—typically   in modern humans, over twice the size of that of a chimpanzee or gorilla.",1,27,161
wiki-1322,Genoa,"Some fortresses stand along the perimeter of the ""New Walls"" or close them.",1,13,75
wiki-192,John Quincy Adams,"With his father's encouragement, Adams would also translate classical authors such as Virgil, Horace, Plutarch, and Aristotle.",1,17,126
wiki-1403,September 11 attacks,"After New York, New Jersey lost the most state citizens, with the city of Hoboken having the most New Jersey citizens who died in the attacks.",1,26,142
wiki-894,Eiffel Tower,"On 20 November 1913, the Paris Observatory, using the Eiffel Tower as an aerial, exchanged wireless signals with the United States Naval Observatory, which used an aerial in Arlington, Virginia.",1,30,194
wiki-79,Apartheid,"Covert operations focused on espionage and domestic counter-subversion became common, the number of special forces units swelled, and the South African Defence Force  (SADF) had amassed enough sophisticated conventional weaponry to pose a serious threat to the ""front-line states"", a regional alliance of neighbouring countries opposed to apartheid.",1,48,349
wiki-531,Harry Potter and the Philosopher's Stone,"There, Harry also makes an enemy of yet another first-year, Draco Malfoy, who shows prejudice against Ron for his family's financial difficulties.",1,22,146
wiki-1038,Yemen,"The Houthis then refused to participate in the government, although they continued to apply pressure on Hadi and his ministers, even shelling the president's private residence and placing him under house arrest, until the government's mass resignation in January 2015.",1,40,268
wiki-1240,Bolivia,"External creditors have been willing to do this because the Bolivian government has generally achieved the monetary and fiscal targets set by IMF programs since 1987, though economic crises have undercut Bolivia's normally good record.",1,35,235
wiki-1396,Ankara,"Although precariously built, the vast majority of them have electricity, running water and modern household amenities.",1,16,118
wiki-377,Erection,"Erectile dysfunction may occur due to physiological or psychological reasons, most of which are amenable to treatment.",1,17,118
wiki-1140,Human,"Though these topics have also been addressed by philosophy, and to some extent by science, spirituality is unique in that it focuses on mystical or supernatural concepts such as karma and God.",1,32,192
wiki-1245,Telomere,The steady shortening of telomeres with each replication in somatic  (body) cells may have a role in senescence and in the prevention of cancer.,1,24,144
wiki-1289,Calgary,The Calgary CMA is home to Canada's second-highest number of corporate head offices among the country's 800 largest corporations.,1,19,129
wiki-1103,Jean-Jacques Rousseau,"In 1699, Isaac ran into political difficulty by entering a quarrel with visiting English officers, who in response drew their swords and threatened him.",1,24,152
wiki-1183,Oat,"The oat hull may be crushed  (""rolled"" or ""crimped"") for the horse to more easily digest the grain, or may be fed whole.",1,23,120
wiki-1650,Vagina,"Birds have a cloaca into which the urinary, reproductive tract  (vagina) and gastrointestinal tract empty.",1,15,106
wiki-1721,North Korea,"For almost two decades after the war, the two states did not seek to negotiate with one another.",1,18,96
wiki-125,Binomial nomenclature,"Whereas the first part of a binomial name must be unique within a kingdom, the second part is quite commonly used in two or more genera  (as is shown by examples of hodgsonii above).",1,34,182
wiki-212,Hanoi,"Infrastructure is constantly being upgraded, with new roads and an improved public transportation system.",1,14,105
wiki-347,Afghanistan,"The only city with over a million residents is its capital, Kabul.",1,12,66
wiki-496,Les Misérables,* Magnon – Former servant of M. Gillenormand and friend of the Thénardiers.,1,13,75
wiki-486,Day of the Dead,Scholars trace the origins of the modern Mexican holiday to indigenous observances dating back hundreds of years and to an Aztec festival dedicated to the goddess Mictecacihuatl.,1,27,178
wiki-585,Hair (musical),"Kyle Riabko assumed the role of Claude, Annaleigh Ashford played Jeanie, and Vanessa Ray was Chrissie.",1,16,102
wiki-742,Multiculturalism,"Despite differing approaches by the three countries with Sweden being the most permissive and Denmark the most restrictive, all three countries have, according to right-wing politicians failed to integrate minorities and have similar levels of unemployment among minorities.",1,38,274
wiki-1066,Mostar,"The money for this reconstruction was donated by Spain   (who had a sizable contingent of peacekeeping troops stationed in the surrounding area during the conflict), the United States, Turkey, Italy, the Netherlands, and Croatia.",1,34,229
wiki-1479,Castle,"Between 1066 and 1087, he established 36&nbsp;castles such as Warwick Castle, which he used to guard against rebellion in the English Midlands.",1,22,143
wiki-1462,Blood,The term serum refers to plasma from which the clotting proteins have been removed.,1,14,83
wiki-138,Richard III of England,"It was at the same time that the duke was appointed sheriff of Cumberland five consecutive years, being described as 'of Penrith Castle' in 1478.",1,25,145
viki-1286,Sleep,"Some bodily functions continue to run even while sleeping: breathing, heartbeat, digestion and others.",0,14,102
wiki-1564,Earthquake,"Perhaps the best known example is the 2008 Sichuan earthquake in China's Sichuan Province in May; this tremor resulted in 69,227 fatalities and is the 19th deadliest earthquake of all time.",1,31,189
wiki-1303,Malaysia,Many cultures from within the country and from surrounding regions have greatly influenced the cuisine.,1,15,103
wiki-951,Winnipeg,"Demographics   As of the Canada 2016 Census there were 705,244 people living in Winnipeg proper, with approximately 778,489 living in the Winnipeg Census Metropolitan Area  (CMA).",1,26,179
wiki-796,Spain,"The proportion of Spain's foreign born population increased rapidly during its economic boom in the early 2000s, but then declined due to the financial crisis.",1,25,159
wiki-1602,Thunderstorm,"When hail stones exceed  in diameter, planes can be seriously damaged within seconds.",1,13,85
wiki-1601,Franz Kafka,"Kafka had no intention of labeling Gregor, the protagonist of the story, as any specific thing, but instead wanted to convey Gregor's disgust at his transformation.",1,26,164
wiki-638,Elvis Presley,"June Juanico of Memphis, one of Presley's early girlfriends, later blamed Parker for encouraging him to choose his dating partners with publicity in mind.",1,24,154
wiki-794,Photosynthesis,"More recent studies, reported in March 2018, also suggest that photosynthesis may have begun about 3.4 billion years ago.",1,19,121
wiki-904,Nikita Khrushchev,Why do it secretly—as if we had no right to do it?,1,12,50
viki-934,Pollyanna,The movie is based on a 1913 book of the same name by Eleanor Porter.,0,15,69
wiki-609,Peter Paul Rubens,"Subsequently, he studied under two of the city's leading painters of the time, the late Mannerist artists Adam van Noort and Otto van Veen.",1,24,139
wiki-1369,Eid al-Fitr,"The traditional Eid greeting is Eid Mubarak, and it is frequently followed by a formal embrace.",1,16,95
wiki-270,Age of Enlightenment,"This intellectual elite was favoured by the state, but that might be reversed if the process of the Enlightenment proved politically or socially destabilizing.",1,24,159
wiki-761,Rain,Hail becomes an increasingly infrequent occurrence when the freezing level within the atmosphere exceeds  above ground level.,1,17,125
wiki-169,Henry II of England,Many of the barons were making individual peace agreements with each other to secure their war gains and it increasingly appeared as though the English Church was considering promoting a peace treaty.,1,32,200
wiki-285,Parliament,"Some restrict the use of the word parliament to parliamentary systems, while others use the word for any elected legislative body.",1,21,130
wiki-1664,France,"French composers played an important role during the music of the 19th and early 20th century, which is considered to be the Romantic music era.",1,25,144
wiki-723,Comoros,"Comoros|Island countries of the Indian Ocean|East African countries|Arabic-speaking countries and territories|Comoros archipelago|Federal republics|French-speaking countries and territories|Least developed countries|Member states of the Organisation internationale de la Francophonie|Member states of the African Union|Member states of the Arab League|Member states of the Organisation of Islamic Cooperation|States and territories established in 1503|States and territories established in 1975|Member states of the United Nations|Small Island Developing States|1975 establishments in Africa|Countries in Africa    The Comoros  (; , ), officially the Union of the Comoros  (Comorian: Umoja wa Komori, ,  ), is an island country  in the Indian Ocean located at the northern end of the Mozambique Channel off the eastern coast of Africa between northeastern Mozambique, the French region of Mayotte, and northwestern Madagascar.",1,117,926
wiki-1536,Henry Ford,"The directors elected him, and he served until the end of the war.",1,13,66
wiki-1203,Number,"A further source of confusion was that the equation  :\left  ( \sqrt\right )^2  \sqrt\sqrt -1  seemed capriciously inconsistent with the algebraic identity  :\sqrt\sqrt=\sqrt,  which is valid for positive real numbers a and b, and was also used in complex number calculations with one of a, b positive and the other negative.",1,51,325
wiki-1609,Santa Claus,Girls generally write longer but more polite lists and express the nature of Christmas more in their letters than in letters written by boys.,1,24,141
wiki-873,Netherlands,"Acclaimed harpist Lavinia Meijer in 2012 released an album with works from Philip Glass that she transcribed for harp, with approval of Glass himself.",1,24,150
wiki-717,Agriculture,"Global cattle, sheep and goat populations are expected to continue to increase sharply through 2050.",1,15,100
viki-413,Stegosaurus,The feet resembled gigantic horse hoofs and the people who first discovered them actually thought they might have come from giant horses.,0,22,137
wiki-930,Starbucks,These closings and layoffs effectively ended the company's period of growth and expansion that began in the mid-1990s.,1,18,118
wiki-781,Quebec,This law has been the subject of periodic controversy since its inception.,1,12,74
wiki-464,Lemur,"Two diseases that are lethal to lemurs and could severely impact isolated lemur populations are toxoplasmosis, which is spread by feral cats, and the herpes simplex virus carried by humans.",1,30,189
wiki-627,Cold War,"Later, the program led to the creation of the Organisation for European Economic Co-operation.",1,14,94
wiki-1611,Cuba,"Like the rest of the Cuban economy, medical care suffered from severe material shortages following the end of Soviet subsidies in 1991, and a tightening of the U.S. embargo in 1992.",1,31,181
wiki-425,Roman Empire,Infant abandonment and self-enslavement among the poor were other sources.,1,10,74
wiki-329,Homeopathy,340 cases were settled out of court in 2006 for .,1,11,49
viki-515,The_Nutcracker,"These instruments included toy drums, trumpets, tambourines, and bird calls for the party scene in Act I, a choir of women's voices in the orchestra pit for the ""Waltz of the Snowflakes"" at the end of Act I, and a celesta for the ""Dance of the Sugar Plum Fairy"" in Act II.",0,52,272
wiki-87,Socialist Federal Republic of Yugoslavia,They vibrated to the rhythm of the advances or setbacks of the FLN or Vietcong.,1,15,79
viki-1668,Mammal,"They can be recognised by their hair : all animals with a fur are mammals, even if not all mammals have a hairy skin : the dolphin's skin, for example, is nude, while the pangolins are totally covered with hard scales...",0,41,220
wiki-1072,North Sea,Energy production from tidal power is still in a pre-commercial stage.,1,11,70
wiki-429,Dionysus,"Hard, Robin, The Routledge Handbook of Greek Mythology: Based on H.J. Rose's ""Handbook of Greek Mythology"", Psychology Press, 2004, .",1,20,133
wiki-161,Owl,"* Minerva  (Middle – Late Eocene of W USA) formerly Protostrix, includes ""Aquila"" ferox, ""Aquila"" lydekkeri, and ""Bubo"" leptosteus    Sophiornithidae      The family Tytonidae: barn-owls    *",1,25,191
wiki-513,Undertale,"During their travels, the human learns the cause of the war between humans and monsters.",1,15,88
wiki-613,Soil,"From the Yellow River, over 1.6&nbsp;billion tons of sediment flow each year into the ocean.",1,15,92
wiki-1326,English language,"In South Africa, English has been spoken since 1820, co-existing with Afrikaans and various African languages such as the Khoe and Bantu languages.",1,23,147
wiki-73,Ovid,"Ovid changes the leader of his elegies from the poet, to Amor  (love).",1,13,70
wiki-1307,Norway,"The investment choices of the Norwegian fund are directed by ethical guidelines; for example, the fund is not allowed to invest in companies that produce parts for nuclear weapons.",1,29,180
wiki-718,Ice skate,"Double runner   Also known as twin blade skates, cheese cutters, bob skates, or bobby skates, these skates are worn by young children who are learning.",1,25,151
wiki-312,Herman Melville,"A common story recounts that his The New York Times obituary called him ""Henry Melville,"" implying that he was unknown and unappreciated at his time of death, but the story is not true.",1,33,185
wiki-1364,Athena,Proponents of this view argue that she dropped her prophylactic owl-mask before she lost her wings.,1,16,99
wiki-27,Rome,"Since the end of the Roman Republic, Rome is also the centre of an important Jewish community, which was once based in Trastevere, and later in the Roman Ghetto.",1,29,161
wiki-1579,Gaetano Donizetti,"(In Italian)  * Engel, Louis  (1886), From Mozart to Mario: Reminiscences of Half a Century vols.",1,16,97
wiki-1528,Kraków,The universities were soon deprived of printing rights and autonomy.,1,10,68
wiki-1458,Evolution,"Fossils, along with the comparative anatomy of present-day organisms, constitute the morphological, or anatomical, record.",1,15,122
wiki-547,Vampire,Further measures included pouring boiling water over the grave or complete incineration of the body.,1,15,100
wiki-123,Slovak language,"Spisovná slovenčina vo vzťahu k spisovnej češtine a k obecnej češtine In what closer, in what further...",1,17,104
viki-1623,Charlemagne,"He also built a school next to his palace where future clerks were educated, that is, the people who would run the administration of his kingdom.",0,26,145
wiki-1161,Puerto Rico,"Printed in three languages—Spanish, English, and French—it was intended to also attract non-Spanish Europeans, with the hope that the independence movements would lose their popularity if new settlers had stronger ties to the Crown.",1,34,232
wiki-1149,Marilyn Monroe,"Over the next two years, she became a popular actress with roles in several comedies, including As Young as You Feel and Monkey Business, and in the dramas Clash by Night and Don't Bother to Knock.",1,36,197
wiki-102,"Muncie, Indiana","It is located in East Central Indiana, about  northeast of Indianapolis.",1,11,72
wiki-565,Safari (web browser),"The stable release of Safari 6 coincided with the release of OS X Mountain Lion on July 25, 2012, and is integrated into the OS.",1,25,128
wiki-1120,Capitalism,Some people argue that it also explains government regulation of market trade and protectionism.,1,14,96
wiki-615,Hebrew language,"Note that this does not happen to mé  (the form of ""min"" or ""mi-"" used before the letter ""he""), therefore mé-ha-matos is a valid form, which means ""from the airplane"".",1,30,167
wiki-1330,Richard II (play),"Date and text   The earliest recorded performance of Richard II was a private one, in Canon Row, the house of Edward Hoby, on 9 December 1595.",1,26,142
wiki-1022,Francis Drake,"Often abroad, there is little evidence to suggest he was active in Westminster, despite being a member of parliament on three occasions.",1,22,136
wiki-212,Hanoi,"The One Pillar Pagoda, the Lycée du Protectorat and the Ho Chi Minh Mausoleum are also in Ba Dinh.",1,19,98
viki-673,Anna_Pavlova,"In the early 20th century, she founded her own company.",0,10,55
wiki-452,Andrew Johnson,"His plans did not give protection to the former slaves; he came into conflict with the Republican-dominated Congress, culminating in his impeachment by the House of Representatives.",1,27,181
wiki-1527,Urdu,"It is used in education, literature, office and court business.",1,10,63
wiki-724,Dublin,"The President resides in Áras an Uachtaráin in Phoenix Park, while both houses of the Oireachtas meet in Leinster House, a former ducal palace on Kildare Street.",1,27,161
viki-1586,Sentence,"The subject of the sentence is ""a full stop or full point (American: 'period').""",0,14,80
wiki-1705,Lisbon,Tourism is also a significant industry; a 2018 report stated that the city receives an average of 4.5 million tourists per year.,1,22,128
wiki-491,Frankenstein,"In the novel, Frankenstein's creation is identified by words such as ""creature"", ""monster"", ""daemon"", ""wretch"", ""abortion"", ""fiend"" and ""it"".",1,19,141
wiki-361,Vincent van Gogh,"When he took up art as an adult, he began at an elementary level.",1,14,65
viki-1053,Piano,It makes the sound very quiet indeed so that a pianist can practise without disturbing other people.,0,17,100
wiki-522,Baltic Sea,"History     Classical world   At the time of the Roman Empire, the Baltic Sea was known as the Mare Suebicum or Mare Sarmaticum.",1,22,128
wiki-685,Freyja,"He landed on her bed and noticed that she was wearing the necklace, the clasp turned downward.",1,17,94
viki-26,Harry_Potter_and_the_Prisoner_of_Azkaban,"As Harry struggles with his reaction to the dementors – dark creatures with the power to devour a human soul and feed on despair – which are ostensibly protecting the school, he reaches out to Remus Lupin, a Defence Against the Dark Arts teacher who is eventually revealed to be a werewolf.",0,52,290
wiki-249,Canary Islands,"Data      Economy    The economy is based primarily on tourism, which makes up 32% of the GDP.",1,16,94
wiki-1579,Gaetano Donizetti,"In regard to which operatic form Donizetti was to have the greater success, when the semi-seria work of 1828, Gianni di Calais, was given in Rome very soon after Anna Bolena had appeared, the Gazzetta privilegiata di Milano described the relationship between the two forms of opera and concluded that ""in two classes—tragic and comic—very close together...the former wins incomparably over the latter"".",1,63,402
wiki-1124,PlayerUnknown's Battlegrounds,"Within a week, Greene flew out to Bluehole's headquarters in Korea to discuss the options, and a few weeks later, became the creative director of Bluehole.",1,26,155
wiki-1135,Richard Wagner,She and her family moved to Geyer's residence in Dresden.,1,10,57
wiki-893,Babe Ruth,"Regardless of when he began to woo his first wife, he won his first game as a pitcher for the Red Sox that afternoon, 4–3, over the Cleveland Naps.",1,29,147
wiki-471,Union Jack,"As stated above, the Union Jacks flown alongside the National Flag in South Africa between 1928 and 1957 were 2:3 flags.",1,21,120
wiki-802,Chicago,"Downtown is the center of Chicago's financial, cultural, governmental and commercial institutions and the site of Grant Park and many of the city's skyscrapers.",1,24,160
wiki-27,Rome,"The official residences of the President of the Italian Republic and the Italian Prime Minister, the seats of both houses of the Italian Parliament and that of the Italian Constitutional Court are located in the historic centre.",1,37,228
wiki-829,Lyndon B. Johnson,"Johnson got the position on the recommendation of his own father and that of State Senator Welly Hopkins, who Johnson had campaigned for in 1930.",1,25,145
wiki-1324,Günter Grass,"From 1960, he lived in Berlin as well as part-time in Schleswig-Holstein.",1,12,73
wiki-1609,Santa Claus,"Naughty children were once told that they would be left a roe  (a bundle of sticks) instead of sweets, but this practice has been discontinued.",1,25,143
wiki-340,Belize,"Trade is important and the major trading partners are the United States, Mexico, the European Union, and Central America.",1,19,121
wiki-579,Walter Raleigh,"In 1602, he sold the lands to Richard Boyle, 1st Earl of Cork, who subsequently prospered under kings James I and Charles I. Following Raleigh's death, members of his family approached Boyle for compensation on the ground that Raleigh had struck an improvident bargain.",1,44,269
wiki-721,Azores,"In 1943, during World War II, the Portuguese ruler António de Oliveira Salazar leased air and naval bases in the Azores to Great Britain.",1,24,137
wiki-646,Harry Potter and the Deathly Hallows,Lev Grossman of Time stated that the main theme of the series was the overwhelming importance of continuing to love in the face of death.,1,25,137
wiki-1520,Edinburgh,"The earliest comparison between the two cities showed that they had a similar topography, with the Castle Rock of Edinburgh performing a similar role to the Athenian Acropolis.",1,28,176
wiki-579,Walter Raleigh,He also served as the rear admiral  (a principal command) of the Islands Voyage to the Azores in 1597.,1,19,102
wiki-1393,Jane Austen,"Jane Austen|1775 births|1817 deaths|18th-century English novelists|19th-century English novelists|18th-century British women writers|Austen family|Burials at Winchester Cathedral|Culture in Bath, Somerset|19th-century deaths from tuberculosis|English Anglicans|English romantic fiction writers|History of Bath, Somerset|History of Winchester|Infectious disease deaths in England|People from Basingstoke and Deane|People from East Hampshire",1,41,439
wiki-515,The Nutcracker,"In the original libretto, the ballet's apotheosis ""represents a large beehive with flying bees, closely guarding their riches"".",1,18,127
wiki-1119,Stephen Hawking,"That is why I asked the question, to get people to think about it, and to be aware of the dangers we now face.""",1,24,111
wiki-1543,Vienna,"Famous musicians who came here to work from other parts of Austria and Germany were Johann Joseph Fux, Joseph Haydn, Wolfgang Amadeus Mozart, Ludwig van Beethoven, Ferdinand Ries, Johann Sedlatzek, Antonio Salieri, Carl Czerny, Johann Nepomuk Hummel, Franz Liszt, Franz von Suppé, Anton Bruckner, Johannes Brahms, Gustav Mahler and Rainhard Fendrich.",1,51,350
wiki-134,Lake Michigan,The warming of Lake Michigan was the subject of a report by Purdue University in 2018.,1,16,86
wiki-209,French Revolution,"On 2 June 1793, Paris sections&nbsp;– encouraged by the enragés  (""enraged ones"")",1,12,81
wiki-736,Star,Binary and multi-star systems consist of two or more stars that are gravitationally bound and generally move around each other in stable orbits.,1,23,144
wiki-330,Édith Piaf,"Her most widely known songs include ""La Vie en rose""  (1946), ""Non, je ne regrette rien""  (1960), ""Hymne à l'amour""  (1949), ""Milord""  (1959), ""La Foule""  (1957), ""L'Accordéoniste""  (1940) and ""Padam, padam...""  (1951).",1,32,219
wiki-1642,Moldova,"For a short time in the 1990s, at the founding of the Commonwealth of Independent States, the name of the current Republic of Moldova was also spelled Moldava.",1,28,159
wiki-1270,Religion,"Academic study   A number of disciplines study the phenomenon of religion: theology, comparative religion, history of religion, evolutionary origin of religions, anthropology of religion, psychology of religion  (including neuroscience of religion and evolutionary psychology of religion), law and religion, and sociology of religion.",1,43,334
wiki-1045,Madrid,"The riches quickly piled up, and the convent became one of the richest convents in all of Europe.",1,18,97
wiki-1382,American Revolutionary War,"Cornwallis marched to retake Trenton, but his efforts were repulsed on January 2.",1,13,81
wiki-436,Galen,"However, Eudemus warned Galen that engaging in conflict with these physicians could lead to his assassination.",1,16,110
wiki-1400,Club Penguin,"Players were able to donate in increments of 100, 250, 500, 1,000, 5,000, or 10,000 virtual coins.",1,17,98
wiki-1041,Liverpool,"Many high-profile players have played for the clubs, including Dixie Dean, Alan Ball, Gary Lineker, Neville Southall and Wayne Rooney for Everton F.C. and Kenny Dalglish, Alan Hansen, Kevin Keegan, Ian Rush and Steven Gerrard for Liverpool F.C..",1,38,245
wiki-714,Social democracy,"Furthermore, the Singaporean Prime Minister Lee Kuan Yew also stated that he has been influenced by the democratic socialist British Labour Party.",1,22,146
wiki-242,The Tortoise and the Hare,*A setting for solo voice by Lucian Cristofor Tugui  (2006),1,10,59
wiki-64,The Canterbury Tales,"General themes and points of view arise as the characters tell their tales, which are responded to by other characters in their own tales, sometimes after a long lapse in which the theme has not been addressed.",1,37,210
wiki-134,Lake Michigan,Grand Traverse Bay in its northeast is another large bay.,1,10,57
wiki-802,Chicago,An attempt was made in the early 20th century to link Chicago with New York City via the Chicago&nbsp;– New York Electric Air Line Railroad.,1,25,140
wiki-1206,Muhammad,"Medina was a large flourishing agricultural settlement, while Mecca was an important financial center for many surrounding tribes.",1,18,130
wiki-1198,Britney Spears,"In January 2017, Spears received four wins out of four nominations at the 43rd People's Choice Awards, including Favorite Pop Artist, Female Artist, Social Media celebrity as well as Comedic Collaboration for a skit with Ellen DeGeneres for The Ellen DeGeneres Show.",1,42,266
wiki-364,Ireland,"With growing prosperity since the last decade of the 20th century, Ireland became a destination for immigrants.",1,17,111
wiki-1152,La bohème,"According to Luhrmann, this version was set in 1957  (rather than the original period of 1830) because ""...they discovered that 1957 was a very, very accurate match for the social and economic realities of Paris in the 1840s.""",1,38,226
wiki-1307,Norway,"Ohthere told Alfred that he was ""the most northern of all Norwegians"", presumably at Senja island or closer to Tromsø.",1,20,118
wiki-1605,Tokyo,"In the kaiju  (monster movie) genre, landmarks of Tokyo are usually destroyed by giant monsters such as Godzilla and Gamera.",1,20,124
wiki-1239,Airbus,"In a separate ruling in February 2011, WTO found that Boeing had received local and federal aid in violation of WTO rules.",1,22,122
wiki-1493,Forest,Physiognomy classifies forests based on their overall physical structure or developmental stage  (e.g. old growth vs. second growth).,1,18,133
wiki-52,PBS,"KCET expects to rejoin PBS later in 2018, thus giving the Los Angeles area four different member stations.",1,18,106
wiki-736,Star,"As the cloud collapses, individual conglomerations of dense dust and gas form ""Bok globules"".",1,14,93
wiki-1698,Aristotle,"His ethics, though always influential, gained renewed interest with the modern advent of virtue ethics, such as in the thinking of  Alasdair MacIntyre and Philippa Foot.   Life   In general, the details of Aristotle's life are not well-established.",1,37,248
wiki-1313,Confirmation,Baptism by water is understood as representing the death of the old person and their resurrection from that death into a new life in Christ.,1,25,140
viki-564,Samurai,"To a samurai, death was better than having no honour.",0,10,53
wiki-1501,Pakistan,In 2015 the World Economic Forum's Travel & Tourism Competitiveness Report ranked Pakistan 125 out of 141 countries.,1,18,116
wiki-613,Soil,"Biochar also allows the irreversible sorption of pesticides and other pollutants, a mechanism by which their mobility, and thus their environmental risk, decreases.",1,23,164
wiki-1212,University,"Although the older student-controlled universities still existed, they slowly started to move toward this structural organization.",1,16,130
wiki-918,Uncle Tom's Cabin,"Stowe intended Tom to be a ""noble hero"" and praiseworthy person.",1,11,64
wiki-23,Jerusalem,"Further, Yad Vashem commemorates the 1.5&nbsp;million Jewish children murdered by the Nazis, and honors the Righteous among the Nations.",1,19,136
wiki-452,Andrew Johnson,The battleground was the election of 1866; Southern states were not allowed to vote.,1,14,84
wiki-331,Nelson Mandela,"The party's slogan was ""a better life for all"", although it was not explained how this development would be funded.",1,20,115
wiki-562,Richard Nixon,"By late 1973, the Watergate scandal escalated, costing Nixon much of his political support.",1,14,91
wiki-1702,Violin,Popular Motown recordings of the late 1960s and 1970s relied heavily on strings as part of their trademark texture.,1,19,115
wiki-270,Age of Enlightenment,"However, the century saw significant advancements in the practice of medicine, mathematics and physics; the development of biological taxonomy; a new understanding of magnetism and electricity; and the maturation of chemistry as a discipline, which established the foundations of modern chemistry.",1,41,297
wiki-1045,Madrid,Pollution in the area dropped following the ban.  ;Radial roads  Madrid is the centre of the most important roads of Spain.,1,21,123
wiki-764,Toronto,"Toronto has a long history of minor-league professional baseball dating back to the 1800s, culminating in the Toronto Maple Leafs baseball team, whose owner first proposed an MLB team for Toronto.",1,31,196
wiki-291,Archaea,"Classification    Early concept   For much of the 20th century, prokaryotes were regarded as a single group of organisms and classified based on their biochemistry, morphology and metabolism.",1,27,191
wiki-1295,Ancient Rome,His reform of the government brought about a two-century period colloquially referred to by Romans as the Pax Romana.,1,19,117
wiki-1715,A Midsummer Night's Dream,"Ulrici noted the way Theseus and Hippolyta behave here, like ordinary people.",1,12,77
wiki-1147,Sexual dimorphism,"A 2004 review in Nature Reviews Neuroscience observed that ""because it is easier to manipulate hormone levels than the expression of sex chromosome genes, the effects of hormones have been studied much more extensively, and are much better understood, than the direct actions in the brain of sex chromosome genes.""",1,50,314
wiki-1045,Madrid,"Its southern extension includes the Temple of Debod, a transported ancient Egyptian temple.",1,13,91
wiki-89,Rhodes,"Rhodes is situated  east-south-east from the Greek mainland, and   from the southern shore of Turkey.",1,15,101
wiki-346,Iraq,"The rulers during the occupation and the remainder of the Hashemite monarchy were Nuri as-Said, the autocratic Prime Minister, who also ruled from 1930 to 1932, and 'Abd al-Ilah, the former Regent who now served as an adviser to King Faisal II.   Republic and Ba'athist Iraq   In 1958, a coup d'état known as the 14 July Revolution was led by the Brigadier General Abd al-Karim Qasim.",1,66,384
wiki-632,Edmund Spenser,"First folio edition of Spenser's collected works first published in James Ware's Ancient Irish Chronicles  (Spenser's work was entered into the Stationer's Register in 1598 and circulated in manuscript but not published until it was included in this work of Ware's)   Sources   *Croft, Ryan J. ""Sanctified Tyrannicide:",1,47,318
wiki-326,Surtsey,"Assuming that the current rate does not change, the island will be mostly at or below sea level by 2100.",1,20,104
wiki-216,Frida Kahlo,"Artistic career      Early career    Kahlo enjoyed art from an early age, receiving drawing instruction from her father's friend, printmaker Fernando Fernández and filling notebooks with sketches.",1,26,196
wiki-1252,North America,"Spanish North America  (New Spain) was often referred to as Northern America, and this was the first official name given to Mexico.",1,22,131
wiki-1252,North America,"He explained the rationale for the name in the accompanying book Cosmographiae Introductio:    (from Americus the discoverer ... as if it were the land of Americus, thus America).",1,28,179
wiki-388,Grant Wood,"However, it was the work of the 15th-century Flemish artist Jan van Eyck that influenced him to take on the clarity of this technique and to incorporate it in his new works.",1,32,173
wiki-1262,Russia,"The 1990s saw extreme corruption and lawlessness, the rise of criminal gangs and violent crime.",1,15,95
wiki-618,Los Angeles,"However, this is complicated by rugged terrain, which has necessitated having different grids for each of the valleys that Los Angeles covers.",1,22,142
wiki-742,Multiculturalism,On a smaller scale this can occur artificially when a jurisdiction is established or expanded by amalgamating areas with two or more different cultures  (e.g. French Canada and English Canada).,1,30,193
wiki-181,Shahjalal University of Science and Technology,SUST ranked at 445th for research and 493rd for innovation in the world.,1,13,72
wiki-805,Montsoreau,"The Business density, is a figure that measures the economic environment, and is, particularly in France, linked to the number of small businesses present in a territory.",1,27,170
wiki-480,Israel,"Later that year, Egyptian President Anwar El Sadat made a trip to Israel and spoke before the Knesset in what was the first recognition of Israel by an Arab head of state.",1,32,171
wiki-185,Karl Marx,"Another, more common, move has been to dilute the explanatory claims of Marx's social theory and emphasise the ""relative autonomy"" of aspects of social and economic life not directly related to Marx's central narrative of interaction between the development of the ""forces of production"" and the succession of ""modes of production"".",1,51,332
wiki-990,Maple syrup,A large number of technological changes took place during the 1970s.,1,11,68
wiki-1335,John Constable,John and Maria's marriage in October 1816 at St Martin-in-the-Fields  (with Fisher officiating) was followed by time at Fisher's vicarage and a honeymoon tour of the south coast.,1,28,178
viki-1346,CityVille, CityVille  CityVille is a video game developed by Zynga Studios.,0,10,65
